Entry,Neighborhood,Latitude,Longitude,Lot Size,Finished Size,Sale Price,Year Built,Bathrooms,Bedrooms
115,East Allegheny,40.45735,-80.001661,1350,2360," $96,015 ",1905,2,4
116,Brookline,40.398771,-80.023591,4000,1232," $96,356 ",1945,2,3
117,Overbrook,40.389872,-79.994414,3750,1144," $96,768 ",1926,2,3
118,Brookline,40.396543,-80.022646,3522,1064," $97,616 ",1935,1,2
119,Perry North,40.493588,-80.023064,4067,1700," $97,872 ",1930,1.5,3
120,Carrick,40.393166,-79.978774,17520,1288," $98,325 ",1960,1.5,3
121,Overbrook,40.378071,-79.996274,7000,1238," $98,408 ",1942,1.5,3
122,Mount Washington,40.434903,-80.015633,2880,1020," $99,051 ",1925,1,3
123,Greenfield,40.42082,-79.932993,1713,1180," $99,227 ",1927,1,3
124,Brookline,40.385077,-80.012179,7500,1094," $99,622 ",1940,1.5,4
125,Wind Gap,40.46046,-80.07491,6000,1194," $100,393 ",1955,1,2
126,Brookline,40.393633,-80.009575,4444,1242," $101,689 ",1955,1.5,2
127,Mount Washington,40.429635,-80.01244,2236,844," $101,744 ",1910,1.5,2
128,Southside Slopes,40.423472,-79.978519,2160,1956," $102,443 ",1900,2,3
129,Oakland,40.433368,-79.956207,1640,3052," $102,520 ",1900,,0
130,Brighton Heights,40.479649,-80.033719,6146,1628," $102,746 ",1930,2,3
131,Southside Slopes,40.423286,-79.969332,1600,1160," $103,037 ",1900,3,3
132,Greenfield,40.422094,-79.930624,2250,936," $104,929 ",1964,1.5,2
133,Brookline,40.392473,-80.011648,3150,1860," $105,006 ",1925,2,3
134,Brookline,40.400082,-80.01511,3000,1485," $105,975 ",1935,2,3
135,Mount Washington,40.433564,-80.012606,2800,1200," $107,069 ",1905,1,3
136,East Liberty,40.469034,-79.925865,3240,2210," $107,684 ",1910,3,5
137,Avalon,40.506752,-80.068318,6000,1139," $108,550 ",1935,1,2
138,Hazelwood,40.416287,-79.941649,3049,1500," $110,301 ",1900,1,3
139,Banksville,40.409284,-80.038539,6534,950," $110,534 ",1954,1.5,2
140,Brighton Heights,40.482571,-80.044992,5003,1698," $110,586 ",1930,2,5
141,Carrick,40.388902,-79.973298,7140,936," $110,867 ",1954,2,3
142,Brighton Heights,40.47807,-80.038319,2000,2802," $111,262 ",1900,3,4
143,Brookline,40.39534,-80.015915,3600,2151," $111,927 ",1930,2,5
144,Brighton Heights,40.477613,-80.031866,5662,1622," $112,143 ",1958,2.5,3
145,North Oakland,40.448587,-79.948465,966,966," $113,303 ",1972,1,1
146,Overbrook,40.382514,-79.999301,5063,1276," $113,462 ",1972,1.5,4
147,Beechview,40.423227,-80.025099,6271,1200," $114,568 ",1950,2,3
148,Oakland,40.428859,-79.953454,1600,1077," $114,928 ",1978,2,4
149,Greenfield,40.427566,-79.930353,2296,1218," $115,018 ",1931,1,2
150,Perry North,40.494641,-80.023019,5600,1716," $115,109 ",1930,1.5,3
151,Brookline,40.400107,-80.015978,3000,1336," $117,141 ",1917,1,3
152,Shadyside,40.451382,-79.926439,594,594," $117,694 ",1968,1,1
153,Garfield,40.465478,-79.936843,2921,1600," $118,184 ",1925,2,4
154,Greenfield,40.424562,-79.940058,2548,848," $118,708 ",1931,1,2
155,Southside Flats,40.426984,-79.969326,2400,918," $121,348 ",1900,1,3
156,Duquesne Heights,40.431273,-80.02147,3975,1196," $121,580 ",1941,1,3
