name,latitude,longitude
Arby's,45.499558,-122.806602
Five Guys Burgers & Fries,45.50078,-122.80627
Dairy Queen,45.524522,-122.806151
Jimmy John's,45.499517,-122.80602
Subway,45.443258,-122.801271
Taco Time,45.476212,-122.800017
McDonald's,45.4037,-122.7966
QDOBA Mexican Eats,45.4862,-122.7962
Foster's Freeze,39.08974141,-122.7952611
Panda Express,45.48972917,-122.794934
Dairy Queen,45.0049,-122.7927
Dominos Pizza,45.447174,-122.791593
Jersey Mike's Subs,45.4474,-122.79084
Taco Bell,45.0071,-122.7903
Panda Express,45.4587,-122.7889
Subway,38.52687,-122.78768
Burger King,38.526376,-122.787462
Sarku Japan,45.449022,-122.783041
Taco Time,45.44838,-122.78272
Sbarro,45.448505,-122.782676
Chan's Restaurant,45.0052,-122.7822
Orange Julius,45.450898,-122.781772
Long John Silver's,45.424558,-122.781563
McDonalds,48.10824,-122.78049
KFC,45.4864,-122.7804
Togo's Sandwiches,45.486242,-122.778704
Jack in the Box,45.4861,-122.7741
Burger King,38.452162,-122.770695
McDonald's,38.4529,-122.7705
Taco Bell,38.45467,-122.770009
Firehouse Subs,47.05684,-122.76871
McDonald's,45.4322878,-122.7678284
Burger King,45.334659,-122.767209
Jersey Mike's Subs,47.05906,-122.76695
Cafe Yumm,45.33477,-122.76665
Taco Time,47.061527,-122.766468
Jack in the Box,47.0561,-122.7658
Mayan Family Mexican Restaurant,47.06557,-122.76546
Burger's Landing,48.03275,-122.76494
Taco Del Mar,47.05936,-122.76401
Jimmy John's,45.30249,-122.76345
Wendy's,45.30327,-122.763431
SUBWAY,45.92686,-122.76052
Lees Kitchen,45.38343,-122.760476
Subway,45.379243,-122.759636
Taco Bell,45.46537,-122.75403
Subway,45.438331,-122.753693
Mazatlan Mexican Restaurant,45.43885,-122.75331
Subway,45.516533,-122.752991
Mazatlan Mexican Restaurant,45.4393,-122.7524
Joe's Burgers,45.3948,-122.752
Joe's Burgers,45.39512,-122.75152
Jimmy John's,45.394,-122.7503
Larkfield Shopping Center,38.500854,-122.75021
SUBWAY,45.4862,-122.7484
Carmen's,38.49664,-122.74831
Chipotle Mexican Grill,45.383012,-122.7482
Five Guys,45.38301771,-122.7480537
Burger King,45.394334,-122.747032
Burger King,45.394334,-122.747032
McDonald's,45.910773,-122.746105
Carl's Jr.,45.395565,-122.744772
Round Table Pizza,38.4311,-122.7443
Subway,38.4329,-122.7422
